Consolidated Industry,Core Industry,Standard Reporting Industry
Accounting,Accounting,
Construction & Manufacturing,"Architecture, Design & Construction",
Consulting,Consulting,
Consumer Products/Trade,Consumer Packaged Goods (CPG),
Education,Education,
Financial Services,Financial Services - Asset & Wealth Management,
Government,Government & Public Sector,
Healthcare,"Healthcare (Providers, Services & MedTech)",
"Leisure, Arts & Entertainment","Arts, Culture & Music",
Media/Communications,"Entertainment, Media, & Communicatons",
Natural Resources/Energy/Utilities,"Mining, Energy & Utilities",
Non-profit organization,Non-Profit / NGOs,
Technology/Engineering/Science,Engineering & Manufacturing,
Services,Business & Professional Services,
Other,Other,
