Consolidated Job Function,Core Function,Standard Reporting Function
Accounting,Accounting & Audit,
Architecture and Engineering,Engineering - Civil & Structural,
Arts and Design,"Arts, Design & Creative (includes UX/UI)",
Building and Grounds Cleaning,Operations Management,
Community and Social Services,Community & Social Services,
Computer and Information Technology,"IT Systems, Networking & Cloud",
Construction and Extraction,"Engineering - Mechanical, Industrial & Manufacturing",
Consulting,Consulting & Strategy (includes M&A),
Counselor,Community & Social Services,
Economic Development,Public Policy & Government Affairs,
"Education, Training, and Library","Teaching & Instruction (K-12, Higher Ed)",
Entertainment and Sports,"Marketing, Communications & Media (incl. PR, Writing, Publishing, Entertainment)",
"Farming, Fishing, and Forestry",Engineering - Energy & Natural Resources,
Finance,"Finance (Corporate, FP&A, Treasury)",
Food Preparation and Serving,"Food, Hospitality & Events",
Fund-raising,Community & Social Services,
Healthcare,Healthcare - Clinical Care,
"Installation, Maintenance, and Repair ",Operations Management,
Insurance,Compliance & Risk Management,
Law,Legal (Counsel & Support),
"Life, Physical, and Social Science",Science & Laboratory Research,
Lobbying,Public Policy & Government Affairs,
Management,Executive Leadership & General Management,
Marketing,"Marketing, Communications & Media (incl. PR, Writing, Publishing, Entertainment)",
Math,Other,
Media and Communication,"Marketing, Communications & Media (incl. PR, Writing, Publishing, Entertainment)",
Military,Public Policy & Government Affairs,
Office and Administrative Support,Administration & Office Support,
Other,Other,
Personal Care and Service,Community & Social Services,
Production,"Manufacturing, Production & Quality Assurance",
Protective Service,Community & Social Services,
Real Estate,Investment & Asset Management,
Research,Healthcare - Clinical & Patient Research,
"Sales ","Customer Success, Sales & Solutions Engineering",
Transportation and Material Moving,"Logistics, Supply Chain & Procurement",
