Knowledge Source,Job Phase
Student Reported," Post Graduation, Internship, "
Student Reported (LinkedIn Import)," Post Graduation, Internship, , , "
Email from Student," Post Graduation, Internship, "
In Person Conversation with Student," Post Graduation, Internship, "
Phone Call with Student," Post Graduation, Internship, "
Text Message with Student," Post Graduation, Internship, , , "
"Social Media (LinkedIn, Facebook, etc.)"," Post Graduation, Internship, "
Career Center Records," Post Graduation, Internship, "
University Records," Post Graduation, Internship, "
Company Reported," Post Graduation, Internship, "
